Data,ID Produto,Descrição,Número de Lotes a Comprar,Tamanho do Lote,Total de Produtos a Comprar,Estoque Anterior,Produtos que Chegaram,Previsão de Demanda,Estoque após Atender,Custo de Compra
16/04/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,10.0,6000,60000.0,102883.0,0.0,0,102883.0,117400.0
16/04/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
23/04/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,2.0,6000,12000.0,10053.0,0.0,0,10053.0,24000.0
23/04/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
23/04/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
30/04/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
30/04/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
30/04/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
07/05/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
07/05/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
07/05/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
14/05/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
14/05/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
14/05/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
21/05/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
21/05/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
21/05/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
28/05/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
28/05/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
28/05/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
